ials-gpu030 slots=1
1

WELCOME TO TEUKOLSKY CODE!

 tr_c[N / 2] = 9.975 
 ttheta[M / 2] = 1 
GDD turns on...
	done.
0.000000 0.97531 
0.344276 0.968018 
0.688553 0.93335 
1.032829 0.907251 
1.377106 0.894277 
1.721382 0.883517 
2.065659 0.872558 
2.409935 0.861231 
2.754211 0.849524 
3.098488 0.837433 
3.442764 0.824955 
3.787041 0.812088 
4.131317 0.79883 
4.475594 0.785183 
4.819870 0.771148 
5.164146 0.756729 
5.508423 0.74193 
5.852699 0.726759 
6.196976 0.711223 
6.541252 0.695333 
6.885529 0.6791 
7.229805 0.662538 
7.574081 0.645662 
7.918358 0.628488 
8.262634 0.611035 
8.606911 0.593324 
8.951187 0.575374 
9.295464 0.557209 
9.639740 0.538854 
9.984016 0.520332 
10.328293 0.501671 
10.672569 0.482898 
11.016846 0.46404 
11.361122 0.445125 
11.705399 0.426184 
12.049675 0.407245 
12.393951 0.388337 
12.738228 0.369491 
13.082504 0.350734 
13.426781 0.332097 
13.771057 0.313608 
14.115334 0.295295 
14.459610 0.277185 
14.803886 0.259305 
15.148163 0.24168 
15.492439 0.224335 
15.836716 0.207294 
16.180992 0.190578 
16.525269 0.17421 
16.869545 0.158208 
17.213821 0.14259 
17.558098 0.127375 
17.902374 0.112577 
18.246651 0.0982101 
18.590927 0.084287 
18.935204 0.0708187 
19.279480 0.0578146 
19.623756 0.0452829 
19.968033 0.0332301 
20.312309 0.0216613 
20.656586 0.0105804 
21.000862 -1.04203e-05 
21.345139 -0.01011 
21.689415 -0.0197186 
22.033691 -0.0288377 
22.377968 -0.0374699 
22.722244 -0.0456191 
23.066521 -0.05329 
23.410797 -0.0604886 
23.755074 -0.0672215 
24.099350 -0.0734966 
24.443626 -0.0793223 
24.787903 -0.0847079 
25.132179 -0.0896633 
25.476456 -0.0941992 
25.820732 -0.0983267 
26.165009 -0.102057 
26.509285 -0.105404 
26.853561 -0.108378 
27.197838 -0.110993 
27.542114 -0.113262 
27.886391 -0.115198 
28.230667 -0.116815 
28.574944 -0.118127 
28.919220 -0.119147 
29.263496 -0.119889 
29.607773 -0.120368 
29.952049 -0.120595 
30.296326 -0.120587 
30.640602 -0.120355 
30.984879 -0.119913 
31.329155 -0.119275 
31.673431 -0.118454 
32.017708 -0.117461 
32.361984 -0.116311 
32.706261 -0.115014 
33.050537 -0.113584 
33.394814 -0.11203 
33.739090 -0.110366 
34.083366 -0.108602 
34.427643 -0.106747 
34.771919 -0.104813 
35.116196 -0.10281 
35.460472 -0.100746 
35.804749 -0.0986301 
36.149025 -0.096472 
36.493301 -0.0942795 
36.837578 -0.0920603 
37.181854 -0.089822 
37.526131 -0.0875715 
37.870407 -0.0853156 
38.214684 -0.0830604 
38.558960 -0.080812 
38.903236 -0.0785757 
39.247513 -0.0763568 
39.591789 -0.07416 
39.936066 -0.0719897 
40.280342 -0.06985 
40.624619 -0.0677446 
40.968895 -0.065677 
41.313171 -0.0636502 
41.657448 -0.061667 
42.001724 -0.0597299 
42.346001 -0.0578412 
42.690277 -0.0560026 
43.034554 -0.0542159 
43.378830 -0.0524825 
43.723106 -0.0508035 
44.067383 -0.0491799 
44.411659 -0.0476124 
44.755936 -0.0461015 
45.100212 -0.0446475 
45.444489 -0.0432505 
45.788765 -0.0419106 
46.133041 -0.0406274 
46.477318 -0.0394007 
46.821594 -0.0382299 
47.165871 -0.0371144 
47.510147 -0.0360535 
47.854424 -0.0350463 
48.198700 -0.0340917 
48.542976 -0.0331889 
48.887253 -0.0323366 
49.231529 -0.0315336 
49.575806 -0.0307786 
49.920082 -0.0300703 
50.264359 -0.0294073 
50.608635 -0.0287882 
50.952911 -0.0282116 
51.297188 -0.0276758 
51.641464 -0.0271794 
51.985741 -0.0267208 
52.330017 -0.0262986 
52.674294 -0.0259111 
53.018570 -0.0255568 
53.362846 -0.0252341 
53.707123 -0.0249414 
54.051399 -0.0246774 
54.395676 -0.0244403 
54.739952 -0.0242288 
55.084229 -0.0240414 
55.428505 -0.0238765 
55.772781 -0.0237329 
56.117058 -0.023609 
56.461334 -0.0235036 
56.805611 -0.0234153 
57.149887 -0.0233428 
57.494164 -0.023285 
57.838440 -0.0232405 
58.182716 -0.0232082 
58.526993 -0.0231871 
58.871269 -0.0231759 
59.215546 -0.0231737 
59.559822 -0.0231796 
59.904099 -0.0231924 
60.248375 -0.0232114 
60.592651 -0.0232356 
60.936928 -0.0232643 
61.281204 -0.0232966 
61.625481 -0.0233318 
61.969757 -0.0233693 
62.314034 -0.0234084 
62.658310 -0.0234485 
63.002586 -0.0234889 
63.346863 -0.0235293 
63.691139 -0.023569 
64.035416 -0.0236077 
64.379692 -0.0236448 
64.723969 -0.0236801 
65.068245 -0.0237132 
65.412521 -0.0237437 
65.756798 -0.0237714 
66.101074 -0.023796 
66.445351 -0.0238173 
66.789627 -0.0238351 
67.133904 -0.0238492 
67.478180 -0.0238595 
67.822456 -0.0238659 
68.166733 -0.0238682 
68.511009 -0.0238664 
68.855286 -0.0238605 
69.199562 -0.0238503 
69.543839 -0.023836 
69.888115 -0.0238174 
70.232391 -0.0237946 
70.576668 -0.0237676 
70.920944 -0.0237365 
71.265221 -0.0237014 
71.609497 -0.0236622 
71.953773 -0.0236191 
72.298050 -0.0235722 
72.642326 -0.0235216 
72.986603 -0.0234673 
73.330879 -0.0234096 
73.675156 -0.0233484 
74.019432 -0.0232839 
74.363708 -0.0232164 
74.707985 -0.0231458 
75.052261 -0.0230724 
75.396538 -0.0229962 
75.740814 -0.0229174 
76.085091 -0.0228362 
76.429367 -0.0227527 
76.773643 -0.0226671 
77.117920 -0.0225794 
77.462196 -0.0224898 
77.806473 -0.0223986 
78.150749 -0.0223057 
78.495026 -0.0222114 
78.839302 -0.0221157 
79.183578 -0.0220189 
79.527855 -0.021921 
79.872131 -0.0218223 
80.216408 -0.0217227 
80.560684 -0.0216224 
80.904961 -0.0215215 
81.249237 -0.0214202 
81.593513 -0.0213186 
81.937790 -0.0212167 
82.282066 -0.0211147 
82.626343 -0.0210127 
82.970619 -0.0209107 
83.314896 -0.0208089 
83.659172 -0.0207072 
84.003448 -0.0206059 
84.347725 -0.020505 
84.692001 -0.0204045 
85.036278 -0.0203045 
85.380554 -0.0202052 
85.724831 -0.0201064 
86.069107 -0.0200084 
86.413383 -0.0199111 
86.757660 -0.0198146 
87.101936 -0.0197189 
87.446213 -0.0196241 
87.790489 -0.0195302 
88.134766 -0.0194372 
88.479042 -0.0193452 
88.823318 -0.0192542 
89.167595 -0.0191642 
89.511871 -0.0190753 
89.856148 -0.0189873 
90.200424 -0.0189005 
90.544701 -0.0188147 
90.888977 -0.01873 
91.233253 -0.0186464 
91.577530 -0.0185638 
91.921806 -0.0184824 
92.266083 -0.018402 
92.610359 -0.0183227 
92.954636 -0.0182445 
93.298912 -0.0181674 
93.643188 -0.0180913 
93.987465 -0.0180163 
94.331741 -0.0179423 
94.676018 -0.0178693 
95.020294 -0.0177973 
95.364571 -0.0177263 
95.708847 -0.0176564 
96.053123 -0.0175873 
96.397400 -0.0175193 
96.741676 -0.0174521 
97.085953 -0.0173859 
97.430229 -0.0173205 
97.774506 -0.017256 
98.118782 -0.0171924 
98.463058 -0.0171296 
98.807335 -0.0170676 
99.151611 -0.0170064 
99.495888 -0.016946 
99.840164 -0.0168863 
100.184441 -0.0168273 
100.528717 -0.016769 
100.872993 -0.0167115 
101.217270 -0.0166546 
101.561546 -0.0165983 
101.905823 -0.0165427 
102.250099 -0.0164876 
102.594376 -0.0164332 
102.938652 -0.0163793 
103.282928 -0.016326 
103.627205 -0.0162732 
103.971481 -0.0162209 
104.315758 -0.0161692 
104.660034 -0.0161179 
105.004311 -0.016067 
105.348587 -0.0160167 
105.692863 -0.0159667 
106.037140 -0.0159172 
106.381416 -0.0158681 
106.725693 -0.0158193 
107.069969 -0.015771 
107.414246 -0.015723 
107.758522 -0.0156754 
108.102798 -0.0156281 
108.447075 -0.0155811 
108.791351 -0.0155345 
109.135628 -0.0154882 
109.479904 -0.0154421 
109.824181 -0.0153964 
110.168457 -0.015351 
110.512733 -0.0153058 
